Unique Key,Created Date,Closed Date,Agency Name,Complaint Type,Location Type,Incident Zip,Street Name,City,Status,Borough
21612454,10-10-2011 0:00,10-10-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10033,WEST 183 STREET,NEW YORK,Closed,MANHATTAN
21609081,10-08-2011 0:00,10/14/2011 12:00 AM,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10019,6 AVENUE,NEW YORK,Closed,MANHATTAN
21608683,10-08-2011 0:00,10-11-2011 0:00,Department of Buildings,Boilers,,10028,EAST 81 STREET,NEW YORK,Closed,MANHATTAN
21608577,10-08-2011 0:00,10-11-2011 0:00,Department of Transportation,Street Light Condition,,10004,BROAD STREET,NEW YORK,Closed,MANHATTAN
21611158,10-09-2011 0:00,10-09-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10003,1 AVENUE,NEW YORK,Closed,MANHATTAN
21598850,10-06-2011 0:00,10-08-2011 0:00,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10023,COLUMBUS AVENUE,NEW YORK,Closed,MANHATTAN
21611172,10-08-2011 0:00,10-10-2011 0:00,Department of Transportation,Broken Muni Meter,Street,10036,WEST 45 STREET,NEW YORK,Closed,MANHATTAN
21611182,10-08-2011 0:00,10-08-2011 0:00,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10010,3 AVENUE,NEW YORK,Closed,MANHATTAN
21611184,10-08-2011 0:00,10-08-2011 0:00,New York City Police Department,Noise - Commercial,Store/Commercial,10031,BROADWAY,NEW YORK,Closed,MANHATTAN
21615489,10-10-2011 0:00,10-10-2011 0:00,New York City Police Department,Homeless Encampment,Residential Building/House,10009,EAST 5 STREET,NEW YORK,Closed,MANHATTAN
21615498,10-11-2011 0:00,10-11-2011 0:00,New York City Police Department,Noise - Vehicle,Street/Sidewalk,10034,SEAMAN AVENUE,NEW YORK,Closed,MANHATTAN
